text,label,category,keywords
全世界七大工程又增其一 1600年前古人在悬崖峭壁上开凿的佛像,1,news_culture,
上联 泰山黄山赵本山 如何对下联,1,news_culture,
买得起修不起 哪些车维修费高到离谱 没想到日系车也不省心,6,news_car,"S60L,雷克萨斯,沃尔沃,指导价,奔驰E级,RAV4,马自达6,Q50L,零整,宝马X1,X3,零整比,雪铁龙"
王毅受邀将出访法 西 葡 阿根廷 外交部透露了这些细节,11,news_world,"中欧关系,二十国集团,阿根廷,中法关系,王毅"
伟大的母亲,0,news_story,垃圾箱
上课时学生手机响个不停 老师一怒之下把手机摔了 家长拿发票让老师赔 大家怎么看待这种事,7,news_edu,
特朗普为什么可以随意废除此前美国政府达成的各种协议,11,news_world,
比亚迪S7这车到底开起来怎么样 我只想听车主的真实用车感受,6,news_car,"湿式双离合,比亚迪,帕萨特,离合器,马牌轮胎"
为什么马占山坚持抗日 而张学良选择不抵抗,9,news_military,"东北军,抵抗,张学良,东北易帜,国民政府"
上市公司被顶格惩罚 股价持续低迷 受损的股民怎么办,4,news_finance,"行政处罚决定书,虚假陈述,证监会,投资者,恒顺众昇,行政处罚,东方电子,证券法"
他曾停赛12场 被评中超四大恶人之一 昨天中超比赛中险断腿,3,news_sports,"柯钊,华夏幸福,赵明剑,河北华夏幸福,足协"
美指原油双高 主力跌幅1 03,4,news_finance,"原油,跌幅,震荡运行"
饶雪莎 5 9黄金原油操作建议 黄金还会跌吗,4,news_finance,"饶雪莎,原油,黄金"
奶奶狠心把孙女淹死 儿媳负气出走 老人葬礼上儿媳孙女都回来了,0,news_story,"徐老娘,儿媳,阿丽,村里人,千叮咛万"
腾讯为什么会持有特斯拉5 的被动股权 意味着什么,12,stock,"特斯拉,美国证券交易委员会,YunOS,无人驾驶,腾讯"
如何判断一只股票被高度控盘 有什么方法找主力控盘的股票,12,stock,"股票,K线图,股东,个股,k线图"
成都至都江堰 眉山将建市域铁路 阆中要建旅游专线,10,news_travel,"客运专线,都江堰,成蒲铁路,成都,眉山"
除了谢娜还有哪些明星的粉丝破亿,2,news_entertainment,"谢娜,吉尼斯,Justin,Katy Perry,僵尸粉"
油价早报 国际油价5月7日上涨,4,news_finance,"委内瑞拉,PDVSA,原油期货,结算价,康菲石油"
零基础只看动漫就能速成掌握日语中高级,7,news_edu,
股票抄底者死是真的吗,12,stock,"股票,抄底,中国石化"
下联 雪戏一点梅 如何对上联,1,news_culture,
从 零基础 到全国冠军 临沂三十五中女篮放飞梦想,3,news_sports,"女篮,三十五,陈允利,篮球比赛,临沂"
老汉收养一只哑巴狗 三年后竟半夜发声吵醒全村 怎料救了一村人,0,news_story,"刘老汉,黄鼠狼,黑狗"
2018东北地区大学综合排行榜 第一名竟然不是哈工大,7,news_edu,"校友会,民办大学,独立学院,东北师范大学,哈尔滨工业大学"
网易腾讯本周齐发力 六款新游开测,14,news_game,"G-STAR,冰风溪谷,沙盒,方舟生存进化,博德之门,荒野大镖客,资料片,复仇者联盟3 ：无限战争,异域镇魂曲,猎魂,明日之后,流放者柯南,永恒之柱"
放弃单挑 盟友要把美军拉下水 图谋破产 美国该如何收场,11,news_world,"叙利亚,读卖新闻,以色列,伊朗,内塔尼亚胡"
为上港与贵州恒丰两家俱乐部点赞 两家俱乐部一起致力于公益事业,3,news_sports,"家俱乐部点赞,贵州恒丰两,贵州,公益事业,家俱乐部"
为什么2018 5 9晚上QQ发消息一直出现感叹号,8,news_tech,
越帮越忙 特朗普老友再发声 救火不成反添乱,11,news_world,"本周,国情咨文,丹尼尔斯,科亨,封口费,鲁迪·朱利安尼,朱利安尼"
如何在创业的浪潮中 找到属于自己的创业道路,4,news_finance,
临沂农商行 信用社 股金分红怎么样 最近几年如何分配,4,news_finance,
到西藏去旅行应怎么注意高反问题,10,news_travel,
可转债卖出该如何操作,12,stock,"转股期内,卖出,可转债,交易规则,股票"
酬金制 破解住宅小区物业管理纷杂困局的利器,5,news_house,"物业公司,酬金制,物业,物业管理,业委会"
炉石传说 炉石设计师玩过的文学梗 炉石设计师必须精通文学,14,news_game,"炉石,魔兽世界,里亚尔,哈利波特,古尔丹,金银岛,弗林特船长"
云南昭通有哪些不错的温泉,10,news_travel,
中国有几个古城,1,news_culture,
横空出世的车载神器 时尚潮流又实用功能齐全 老司机说相见恨晚,6,news_car,"置物盒,遮阳帘,收纳盒,储物盒,车载手机支架"
成功人士之选 四款热门大型车推荐,6,news_car,"宝马,大功率,捷豹,大型车,捷豹XJL,宝马7系"
中国055大驱刷舷号101有何深意,9,news_military,
山西在读大学生 研究生 博士硕士生购房怎么补贴,5,news_house,
戛纳红毯赖着不走停了六分钟 马苏 咱是个实在人,2,news_entertainment,"红毯,如影随心,戛纳电影节,徐立峰,霍建起,马苏"
